	Control_1	Control_2	Control_3	Control_4	Treatment_1	Treatment_2	Treatment_3	Treatment_4
ENSG00000237378	0	0	0	0	0	0	0	0
ENSG00000285566	0	0	0	0	0	0	0	0
ENSG00000184226	270	167	24	42	2483	2940	2600	2937
ENSG00000150361	2	3	0	1	3	3	0	1
ENSG00000288330	0	0	0	0	0	0	0	0
ENSG00000276644	698	789	764	790	1493	1630	1518	2094
ENSG00000204899	140	127	174	269	405	487	360	471
ENSG00000136122	80	63	95	136	319	367	301	392
ENSG00000083520	563	504	648	928	2222	2451	1908	2622
ENSG00000083535	66	83	105	144	329	351	267	404
ENSG00000102554	48	33	46	31	4	3	1	5
ENSG00000279754	0	0	0	0	0	0	0	0
ENSG00000118922	811	612	672	994	1795	1918	1611	1934
ENSG00000280348	0	0	0	0	0	0	0	0
ENSG00000136111	42	51	5	14	4	4	5	11
ENSG00000188243	1023	1201	798	1195	2881	3269	2503	3262
ENSG00000118939	90	80	155	212	563	542	427	616
ENSG00000136153	174	131	172	235	1945	2126	1749	2444
ENSG00000178695	4	3	4	4	76	62	38	81
ENSG00000102794	0	0	0	0	0	1	0	0
ENSG00000102805	0	0	0	0	1	1	0	0
ENSG00000283208	1	2	0	3	5	4	2	4
ENSG00000005812	0	0	0	0	0	0	0	0
ENSG00000005810	442	209	1045	1432	1721	1881	1632	2007
ENSG00000288716	0	0	0	0	0	0	0	0
ENSG00000136155	1	3	0	0	0	0	0	2
ENSG00000139737	336	293	483	662	669	762	584	760
ENSG00000136160	0	0	0	0	1	0	0	0
ENSG00000152192	0	0	2	2	2	4	2	0
ENSG00000152193	290	261	395	538	1489	1516	1168	1550
ENSG00000139746	489	439	626	775	1893	2121	1858	2229
ENSG00000102471	172	207	309	443	413	343	294	482
ENSG00000136158	75	65	121	120	134	113	110	128
ENSG00000178235	0	0	0	1	1	0	0	0
ENSG00000184564	0	0	0	0	0	0	0	0
ENSG00000165300	2	0	1	0	0	0	0	0
ENSG00000179399	53	44	39	42	13	9	9	18
ENSG00000282864	0	0	0	0	0	0	0	0
ENSG00000282865	0	0	0	0	0	0	0	0
ENSG00000283097	0	0	0	0	0	0	0	0
ENSG00000282993	0	0	0	0	0	0	0	0
ENSG00000183098	6	8	2	12	14	8	4	9
ENSG00000080166	1	0	0	0	6	0	2	2
ENSG00000088451	95	155	139	224	429	477	365	442
ENSG00000152749	124	97	331	468	583	640	557	715
ENSG00000125285	0	0	0	0	0	0	0	0
ENSG00000125257	343	333	711	997	868	762	595	897
ENSG00000134873	1	2	0	0	3	1	0	3
ENSG00000134874	176	204	148	149	15	30	15	29
ENSG00000102580	498	443	588	872	1676	1827	1477	1961
ENSG00000102595	39	18	50	61	102	68	83	93
ENSG00000185352	4	7	4	3	10	5	2	1
ENSG00000165621	0	0	0	0	0	0	0	0
ENSG00000139793	540	454	778	848	1361	1477	1259	1472
ENSG00000125249	552	572	718	970	678	779	735	769
ENSG00000065150	2548	2487	2738	3302	5656	5900	4920	6354
ENSG00000152767	669	595	119	165	205	201	159	244
ENSG00000139797	0	0	0	0	0	0	0	0
ENSG00000102572	2697	2436	1486	1949	2973	3558	2848	3598
ENSG00000088386	3	1	0	0	2	0	0	2
ENSG00000088387	738	712	353	599	1509	1656	1448	1923
ENSG00000134882	588	598	622	772	3342	3979	3196	3942
ENSG00000125245	0	0	0	0	0	0	0	0
ENSG00000169508	0	0	0	0	0	0	0	0
ENSG00000125304	1028	1073	1657	2376	6340	6952	5489	6860
ENSG00000125246	86	85	113	149	245	262	206	250
ENSG00000139800	0	0	0	0	0	0	0	0
ENSG00000043355	0	0	0	0	0	0	0	0
ENSG00000175198	305	378	336	334	274	269	224	363
ENSG00000134864	2724	2434	2003	2062	5124	5574	5871	6595
ENSG00000125247	31	21	79	113	297	312	261	354
ENSG00000102452	0	8	1	2	2	4	0	1
ENSG00000198542	3	1	0	0	1	7	0	4
ENSG00000102466	4	10	0	5	11	7	5	9
ENSG00000279702	0	0	0	0	0	0	0	0
ENSG00000134900	323	299	407	546	1055	1123	951	1287
ENSG00000139780	0	0	0	0	1	0	0	0
ENSG00000175820	0	2	0	0	0	2	1	1
ENSG00000151287	78	103	80	113	188	160	164	181
ENSG00000134901	1	1	0	0	0	2	0	2
ENSG00000270181	2	0	1	3	58	70	37	55
ENSG00000134897	0	0	0	0	0	0	0	0
ENSG00000134899	0	0	0	0	0	0	0	0
ENSG00000125255	0	0	0	0	0	0	0	0
ENSG00000182346	0	0	0	0	0	0	0	0
ENSG00000125266	6	3	2	1	9	9	20	8
ENSG00000134884	378	400	330	442	1258	1218	961	1284
ENSG00000279157	0	0	0	0	0	0	0	0
ENSG00000204442	5	7	1	10	8	10	5	10
ENSG00000174405	120	115	124	173	665	641	548	683
ENSG00000139826	158	186	167	265	1156	1066	972	1138
ENSG00000102524	74	32	24	41	151	149	121	146
ENSG00000041515	5	4	4	5	4	2	2	7
ENSG00000185950	121	101	86	93	508	605	468	655
ENSG00000279965	0	0	0	0	0	0	0	0
ENSG00000187498	1	7	1	4	1	3	0	7
ENSG00000279237	0	0	0	0	0	0	0	0
ENSG00000134871	0	1	3	7	42	29	28	53
ENSG00000139832	55	69	62	101	551	502	444	628
ENSG00000213995	182	165	285	343	921	1057	859	1087
ENSG00000134905	268	169	224	287	2774	3260	2986	3306
ENSG00000153487	459	505	211	281	1460	1959	1507	1939
ENSG00000088448	2548	1833	910	1245	2365	2691	2241	2571
ENSG00000102606	2387	1800	1344	1697	1869	2245	1964	2258
ENSG00000153495	32	23	11	10	8	6	5	4
ENSG00000182968	0	0	0	0	0	0	0	0
ENSG00000153498	0	1	0	0	1	2	0	0
ENSG00000126216	363	301	394	543	1427	1845	1471	1854
ENSG00000068650	1608	990	1216	1541	1653	1855	1680	2059
ENSG00000126217	11	27	30	39	116	160	136	190
ENSG00000057593	0	0	0	0	0	1	0	1
ENSG00000126218	0	0	4	1	3	1	3	4
ENSG00000126231	1	0	1	1	11	13	9	15
ENSG00000126226	241	254	402	542	1767	1949	1515	1956
ENSG00000139842	570	512	845	1081	2483	2441	2214	2855
ENSG00000185896	1611	1410	1480	1815	5821	6828	5432	6670
ENSG00000139835	2	0	0	0	4	5	2	3
ENSG00000153531	2	2	1	1	13	5	13	8
ENSG00000150401	71	51	25	73	184	255	161	221
ENSG00000150403	342	343	282	407	818	890	771	961
ENSG00000198176	456	405	773	931	1786	1705	1405	1905
ENSG00000186009	0	0	2	0	0	0	0	0
ENSG00000185974	0	0	0	0	5	1	2	2
ENSG00000279770	0	0	0	0	0	0	0	0
ENSG00000184497	11	4	8	7	35	44	35	38
ENSG00000183087	605	511	344	409	73	55	73	97
ENSG00000283199	3	2	1	4	5	1	9	2
ENSG00000185989	252	242	182	223	886	1143	939	1257
ENSG00000283361	0	0	1	2	2	1	8	2
ENSG00000130177	250	215	403	571	2060	2156	1718	2198
ENSG00000169062	119	137	133	248	1261	1543	1305	1469
ENSG00000198824	222	212	310	472	1539	1646	1460	1743
ENSG00000257115	0	0	0	0	0	0	0	0
ENSG00000222036	1812	2140	2929	2464	3	6	2	8
ENSG00000187537	297	349	491	410	6	3	0	1
ENSG00000258453	0	0	0	0	0	0	0	0
ENSG00000176294	5	0	0	0	1	1	0	5
ENSG00000182652	0	0	0	0	0	0	0	0
ENSG00000176299	0	0	0	0	0	0	0	0
ENSG00000176290	0	0	0	0	0	0	0	0
ENSG00000165762	0	0	0	0	0	0	0	0
ENSG00000176281	0	0	0	0	0	0	0	0
ENSG00000155249	1	0	0	0	0	0	0	0
ENSG00000169488	0	0	0	0	0	0	0	0
ENSG00000196383	0	0	0	0	0	0	0	0
ENSG00000169484	0	0	0	0	0	0	0	0
ENSG00000176253	0	0	0	0	0	0	0	0
ENSG00000176246	0	0	0	0	0	0	0	0
ENSG00000176230	0	0	0	0	0	1	0	0
ENSG00000184394	1	0	0	0	0	0	0	0
ENSG00000196832	0	0	2	0	0	0	0	0
ENSG00000176219	0	0	0	0	0	0	0	0
ENSG00000258806	0	0	0	0	0	0	0	0
ENSG00000176198	0	0	0	0	0	1	0	0
ENSG00000136319	137	144	310	424	1058	1202	987	1281
ENSG00000100814	1015	1097	735	932	799	888	694	870
ENSG00000129484	139	129	115	129	394	411	348	470
ENSG00000129566	586	426	469	526	435	455	370	572
ENSG00000185271	1	0	5	6	23	7	21	33
ENSG00000092094	131	119	214	322	1024	1047	914	1193
ENSG00000100823	2198	2483	2276	3002	5983	5978	5093	7124
ENSG00000165782	586	596	881	1012	1645	1794	1400	1812
ENSG00000198805	379	370	746	904	1991	2169	1791	2244
ENSG00000182545	0	0	0	2	3	2	4	6
ENSG00000188655	0	0	0	0	0	0	0	0
ENSG00000259060	0	0	0	0	0	0	0	0
ENSG00000173464	0	0	0	0	0	0	0	0
ENSG00000258436	0	0	0	0	0	0	0	0
ENSG00000181803	0	0	0	0	0	0	0	0
ENSG00000214274	0	0	0	0	0	2	1	5
ENSG00000258818	1	0	0	0	1	0	0	0
ENSG00000259171	0	0	0	0	0	0	0	0
ENSG00000181562	0	0	0	0	0	0	0	0
ENSG00000181552	0	0	0	0	0	0	0	0
ENSG00000169413	59	74	35	45	1347	1751	1413	1512
ENSG00000129538	136	189	2	2	143	188	107	131
ENSG00000169397	0	0	0	0	0	0	0	0
ENSG00000169385	0	0	0	0	0	0	0	0
ENSG00000165792	139	111	196	226	677	744	596	710
ENSG00000165794	0	0	0	0	0	1	1	1
ENSG00000165795	29	47	28	44	183	219	140	183
ENSG00000179636	0	0	0	0	0	0	0	0
ENSG00000206150	0	0	0	0	0	0	0	0
ENSG00000165799	0	0	0	0	0	0	0	0
ENSG00000173431	0	0	0	0	0	0	0	0
ENSG00000165801	97	113	96	101	34	51	39	43
ENSG00000165804	155	159	172	194	365	456	401	541
ENSG00000232070	0	0	0	0	0	0	0	0
ENSG00000169327	0	0	0	0	0	0	0	0
ENSG00000092199	14982	15447	10425	14122	26575	28950	23073	30129
ENSG00000092200	6	8	2	5	57	45	34	30
ENSG00000092201	2470	2335	2045	2774	5759	7000	5701	7735
ENSG00000100888	1188	954	897	1160	2081	2611	2148	2885
ENSG00000129472	218	226	234	292	523	611	442	678
ENSG00000092203	804	759	1072	1311	3277	3603	3039	3861
ENSG00000165819	312	282	306	341	1001	1073	894	1240
ENSG00000165821	112	74	74	111	154	202	215	188
ENSG00000169208	0	0	0	0	1	0	0	0
ENSG00000255569	0	0	0	0	0	0	0	0
ENSG00000255582	0	0	0	0	0	0	0	0
ENSG00000256553	3	2	0	0	0	1	0	1
ENSG00000221977	0	0	0	0	2	0	0	1
ENSG00000276240	0	0	0	0	0	0	0	0
ENSG00000211776	0	0	0	0	0	0	0	0
ENSG00000211777	2	2	0	0	0	1	3	1
ENSG00000211778	1	2	0	0	0	1	0	2
ENSG00000211779	10	0	0	0	0	0	0	0
ENSG00000211780	1	0	0	1	0	0	0	0
ENSG00000211781	0	0	0	0	0	0	0	0
ENSG00000211782	1	4	0	0	0	1	0	0
ENSG00000211783	0	0	0	0	0	0	0	0
ENSG00000211784	4	1	0	0	0	0	0	0
ENSG00000211785	2	2	0	0	0	0	2	0
ENSG00000211786	5	5	0	0	0	0	0	0
ENSG00000211787	2	3	0	0	0	0	0	0
ENSG00000289723	0	0	0	0	0	0	0	0
ENSG00000211788	2	2	0	0	3	0	2	0
ENSG00000211789	5	7	0	0	0	1	1	0
ENSG00000211790	3	7	0	0	0	0	0	0
ENSG00000211791	2	2	0	0	0	0	0	0
ENSG00000211792	4	5	0	0	0	0	0	2
ENSG00000211793	1	4	0	0	0	0	1	0
ENSG00000211794	1	3	0	0	0	1	1	2
ENSG00000211795	1	1	0	0	2	1	0	1
ENSG00000211796	3	1	0	0	0	0	3	0
ENSG00000211797	3	0	0	0	0	0	0	0
ENSG00000211798	2	0	0	0	0	0	0	0
ENSG00000211799	2	1	0	0	0	2	0	0
ENSG00000211800	2	1	0	0	0	1	0	0
ENSG00000211801	5	6	0	0	0	0	0	1
ENSG00000211802	0	1	0	0	0	0	3	0
ENSG00000211803	0	1	0	0	0	0	0	0
ENSG00000211804	8	16	0	0	2	0	0	1
ENSG00000211805	0	2	0	0	0	0	0	0
ENSG00000211806	9	3	0	0	0	0	0	1
ENSG00000211807	0	0	0	0	2	0	0	0
ENSG00000211808	0	0	0	1	0	0	0	0
ENSG00000211809	2	2	0	0	0	0	0	0
ENSG00000211810	4	2	0	0	1	0	0	1
ENSG00000259092	3	2	2	3	0	2	1	0
ENSG00000211812	0	6	0	1	0	0	0	0
ENSG00000211813	0	0	0	0	0	0	0	0
ENSG00000211815	1	1	0	0	1	0	3	4
ENSG00000211816	0	0	0	0	0	0	0	1
ENSG00000211817	4	1	0	0	0	1	0	0
ENSG00000211818	1	1	0	0	0	0	0	0
ENSG00000211819	0	0	0	0	0	0	0	0
ENSG00000211820	1	3	0	0	0	0	0	0
ENSG00000211821	3	1	0	1	4	4	2	11
ENSG00000223997	0	0	0	0	0	0	0	0
ENSG00000237235	0	0	0	0	0	0	0	0
ENSG00000228985	1	0	0	0	0	0	0	0
ENSG00000211825	0	0	0	1	2	2	3	1
ENSG00000211826	0	0	0	0	0	0	0	1
ENSG00000211827	2	0	0	0	1	0	0	0
ENSG00000211828	1	0	0	2	16	3	2	12
ENSG00000211829	169	164	82	99	638	744	641	794
ENSG00000256590	11	7	5	5	102	142	83	111
ENSG00000211831	0	0	1	1	1	0	4	1
ENSG00000211832	0	0	3	1	1	0	0	0
ENSG00000211833	4	2	1	5	6	1	5	5
ENSG00000211834	2	1	3	4	2	1	0	0
ENSG00000211835	0	2	0	1	3	2	0	5
ENSG00000211836	2	1	7	7	17	3	9	9
ENSG00000211837	7	0	1	4	10	9	6	8
ENSG00000211838	3	6	2	6	6	4	1	0
ENSG00000211839	0	0	0	1	0	0	0	0
ENSG00000211840	23	28	26	40	20	24	36	25
ENSG00000211841	0	0	0	0	7	11	11	4
ENSG00000211842	2	1	0	1	3	1	1	4
ENSG00000211843	0	0	0	0	2	2	0	1
ENSG00000211844	9	4	4	4	7	3	4	2
ENSG00000211845	2	2	4	6	9	16	8	6
ENSG00000211846	0	0	0	0	0	0	0	0
ENSG00000211847	19	7	16	28	10	10	4	10
ENSG00000211848	0	0	0	1	1	0	0	1
ENSG00000211849	0	0	0	0	0	0	0	0
ENSG00000211850	1	0	0	0	2	1	0	4
ENSG00000211851	7	6	1	0	0	0	0	0
ENSG00000278661	0	0	0	0	0	0	0	1
ENSG00000276699	0	0	0	1	0	1	0	0
ENSG00000211854	9	4	46	64	6	1	7	5
ENSG00000211855	10	5	8	12	0	0	0	0
ENSG00000211856	0	0	0	2	5	5	3	8
ENSG00000211857	5	2	2	7	20	16	10	9
ENSG00000211858	0	2	0	0	0	0	0	0
ENSG00000211859	1	0	0	0	0	0	0	0
ENSG00000211860	2	0	0	0	0	0	0	0
ENSG00000211861	0	0	0	1	2	1	2	0
ENSG00000211862	1	4	0	2	6	10	9	4
ENSG00000211863	0	0	1	0	0	2	0	2
ENSG00000211864	0	0	0	0	0	0	0	0
ENSG00000211865	0	0	0	0	0	3	0	0
ENSG00000211866	0	0	0	0	1	0	0	0
ENSG00000211867	0	0	0	0	1	0	0	0
ENSG00000211868	0	0	0	0	0	0	0	0
ENSG00000211869	0	0	0	0	0	0	0	0
ENSG00000211870	0	0	0	0	0	0	0	0
ENSG00000211871	0	0	1	2	0	2	2	2
ENSG00000211872	0	0	0	1	5	0	0	1
ENSG00000211873	0	0	0	0	0	1	0	0
ENSG00000211875	0	0	0	1	3	0	0	1
ENSG00000211876	0	0	0	0	0	3	0	3
ENSG00000211877	8	10	16	11	158	245	169	238
ENSG00000211878	1	0	0	0	0	0	0	2
ENSG00000211879	2	1	3	8	30	29	28	32
ENSG00000211880	0	0	0	2	3	0	0	0
ENSG00000211882	0	0	0	0	0	3	0	0
ENSG00000211883	1	0	0	3	1	1	0	4
ENSG00000211884	0	0	2	3	2	2	0	1
ENSG00000211885	1	0	1	1	0	0	0	2
ENSG00000211886	0	0	0	0	1	0	0	2
ENSG00000211887	0	0	4	2	0	1	0	0
ENSG00000211888	0	0	0	0	0	0	0	0
ENSG00000277734	1735	1763	2217	2674	7047	7540	6603	8265
ENSG00000129562	1944	2252	1527	2211	4863	4993	4100	5556
ENSG00000100439	707	638	576	656	1461	1622	1392	1760
ENSG00000255804	1	0	1	0	9	2	0	5
ENSG00000155463	3343	3129	2573	3137	4836	5152	4524	5540
ENSG00000155465	478	431	677	739	2044	2224	1883	2269
ENSG00000172590	440	493	463	706	1508	1562	1310	1723
ENSG00000157227	1141	1070	661	727	568	613	481	756
ENSG00000197324	2775	2402	2619	2988	8930	10247	9376	11842
ENSG00000139890	1	5	3	3	6	11	14	5
ENSG00000100461	774	601	835	988	4084	4675	3982	4681
ENSG00000100462	445	436	570	631	1957	1778	1507	2045
ENSG00000092036	0	0	0	0	0	0	0	0
ENSG00000259132	0	1	0	1	5	7	2	7
ENSG00000129474	0	3	2	0	9	12	5	10
ENSG00000100802	68	71	76	76	357	393	302	452
ENSG00000280129	0	0	0	0	0	0	0	0
ENSG00000100804	1918	2121	1975	2399	1508	1533	1258	1728
ENSG00000279656	0	0	0	0	0	0	0	0
ENSG00000222028	0	0	0	0	0	0	0	0
ENSG00000139880	22	17	55	55	120	85	59	153
ENSG00000100813	1246	1116	584	726	2109	2917	2322	3216
ENSG00000179933	507	490	614	648	2112	2317	1859	2420
ENSG00000283654	1	0	1	0	0	0	7	0
ENSG00000092067	93	109	92	95	22	20	16	19
ENSG00000092068	64	60	31	39	22	14	21	22
ENSG00000215277	13	7	10	19	44	27	49	46
ENSG00000290292	247	223	283	391	819	906	666	986
ENSG00000235194	0	0	0	0	0	0	0	0
ENSG00000129473	0	1	0	0	7	1	6	0
ENSG00000258643	5	0	3	5	17	15	21	13
ENSG00000100836	0	0	0	0	0	0	0	0
ENSG00000092096	13	8	8	12	86	105	113	98
ENSG00000100842	0	0	0	0	0	0	0	1
ENSG00000166090	0	0	0	0	0	0	0	0
ENSG00000166091	4	7	0	0	1	0	1	0
ENSG00000197616	9	5	0	4	0	0	0	0
ENSG00000092054	2	2	2	0	0	1	0	0
ENSG00000129460	196	214	195	289	1365	1559	1254	1528
ENSG00000136367	11	9	34	46	13	6	13	13
ENSG00000259431	125	103	171	188	670	631	538	716
ENSG00000213983	312	286	447	484	1383	1490	1197	1703
ENSG00000092051	335	285	428	515	0	1	0	0
ENSG00000100867	0	0	0	0	0	0	0	4
ENSG00000157326	182	160	201	275	860	922	791	992
ENSG00000187630	145	148	162	190	856	807	663	921
ENSG00000186648	3	13	9	10	4	0	1	1
ENSG00000100884	1	0	6	6	0	0	0	1
ENSG00000129535	17	30	27	32	119	137	99	153
ENSG00000100889	0	0	0	0	0	0	0	0
ENSG00000100897	1277	1200	1524	1657	2171	2310	1986	2668
ENSG00000259371	5	3	2	5	8	16	6	6
ENSG00000139914	3	3	4	5	4	14	23	11
ENSG00000092010	6354	7123	3925	4970	8348	8852	7164	9143
ENSG00000100908	125	120	185	253	116	128	97	139
ENSG00000100911	1745	1945	2586	3450	3441	3090	2500	3888
ENSG00000092098	0	0	0	0	1	2	2	1
ENSG00000259529	0	0	0	0	1	2	0	5
ENSG00000213928	28	17	22	40	77	61	49	76
ENSG00000100918	59	37	48	41	224	292	225	272
ENSG00000196497	3	5	14	10	16	18	18	34
ENSG00000259522	0	0	0	0	0	0	2	0
ENSG00000100926	0	0	0	0	0	0	0	0
ENSG00000254692	53	35	23	31	141	133	90	154
ENSG00000139908	0	0	0	0	0	0	0	0
ENSG00000254505	1	0	1	0	6	7	3	8
ENSG00000213920	0	0	0	0	0	0	0	0
ENSG00000255526	0	1	0	0	2	2	0	0
ENSG00000129559	0	0	0	0	0	0	0	0
ENSG00000100938	543	526	522	599	1158	1265	986	1185
ENSG00000092330	877	955	1512	1723	5274	5943	4951	6098
ENSG00000092295	11	8	11	10	6	4	11	12
ENSG00000100949	204	210	300	362	542	602	518	703
ENSG00000157379	64	58	70	93	363	388	367	402
ENSG00000196943	108	113	210	230	738	777	603	878
ENSG00000136305	0	0	0	0	0	0	0	0
ENSG00000213906	0	0	0	0	0	0	0	1
ENSG00000213903	9	15	27	30	38	32	32	40
ENSG00000129467	0	2	0	0	2	3	2	1
ENSG00000129465	32	29	61	78	427	475	400	512
ENSG00000100968	3	7	8	1	0	0	0	0
ENSG00000205978	2	5	0	0	0	0	0	0
ENSG00000139899	40	39	43	49	23	30	27	30
ENSG00000100441	1173	989	1339	1665	3008	3384	2872	3582
ENSG00000100445	39	41	53	55	233	249	249	242
ENSG00000092009	0	0	0	1	1	1	1	1
ENSG00000100448	0	0	0	0	0	0	4	0
ENSG00000100450	117	105	0	3	4	5	0	8
ENSG00000100453	101	160	9	16	11	9	12	5
ENSG00000168952	1	1	0	3	0	3	0	3
ENSG00000279521	0	0	0	0	0	0	0	0
ENSG00000139910	153	155	281	280	1	2	1	6
ENSG00000176165	685	702	762	774	0	0	0	0
ENSG00000184304	3	13	1	1	3	2	4	3
ENSG00000279032	0	0	0	0	0	0	0	0
ENSG00000092140	121	121	115	250	662	803	608	823
ENSG00000092108	271	342	548	746	1833	1825	1442	2017
ENSG00000100473	13	22	129	188	2437	2211	1947	2866
ENSG00000196792	396	402	475	516	510	505	413	560
ENSG00000100478	72	63	83	128	382	451	390	471
ENSG00000092148	543	416	924	961	1288	1421	1178	1520
ENSG00000129493	40	23	71	77	251	318	225	301
ENSG00000203546	37	24	16	27	68	90	59	85
ENSG00000129480	0	1	0	0	0	3	0	0
ENSG00000214943	0	0	0	0	0	1	2	1
ENSG00000151413	55	69	80	100	290	289	257	296
ENSG00000100852	1090	936	1260	1582	2312	2407	2015	2490
ENSG00000151320	25	22	14	27	203	212	168	211
ENSG00000280281	0	0	0	0	0	0	0	0
ENSG00000151322	2	6	1	3	3	1	5	12
ENSG00000129521	491	549	276	235	14	23	9	23
ENSG00000165389	0	0	0	0	0	0	0	0
ENSG00000129518	390	418	316	481	2469	2627	2098	2693
ENSG00000279423	179	179	151	225	563	656	553	674
ENSG00000129515	855	930	947	1402	2900	2989	2524	3173
ENSG00000165410	482	527	325	469	412	380	367	371
ENSG00000198604	1345	1204	1272	1721	1843	2036	1742	2303
ENSG00000100883	958	1059	1176	1489	2297	2545	2136	2856
ENSG00000151327	228	220	202	305	568	653	524	658
ENSG00000092020	12	12	23	42	63	83	53	61
ENSG00000279434	0	0	0	0	0	0	0	0
ENSG00000100890	0	0	1	0	1	0	0	0
ENSG00000258790	1	0	0	1	2	4	0	7
ENSG00000100902	0	0	0	0	2	0	0	0
ENSG00000100906	19186	18953	21917	26576	9758	9645	8247	11376
ENSG00000168348	1	0	1	1	0	0	0	0
ENSG00000174373	260	191	412	463	983	934	941	1082
ENSG00000100916	40	35	70	70	213	246	171	258
ENSG00000151332	75	92	104	133	417	501	367	513
ENSG00000257520	0	0	1	0	0	0	0	0
ENSG00000136352	0	0	0	0	0	0	0	0
ENSG00000136327	0	0	0	0	0	0	0	0
ENSG00000198807	80	60	88	89	203	191	195	222
ENSG00000183032	2	3	4	3	12	15	7	14
ENSG00000151338	34	34	16	22	6	5	5	6
ENSG00000289687	0	0	0	0	0	0	0	0
ENSG00000129514	0	0	0	0	0	0	0	0
ENSG00000139865	5	2	1	2	4	3	0	9
ENSG00000139874	0	0	0	0	0	0	0	0
ENSG00000176435	0	0	0	0	0	0	0	0
ENSG00000100934	844	725	1259	1597	1927	2231	1849	2302
ENSG00000092208	100	94	147	163	402	369	321	348
ENSG00000182400	167	162	198	303	621	710	606	723
ENSG00000100941	660	666	453	528	1092	1249	1136	1526
ENSG00000150527	373	382	603	810	1313	1482	1188	1464
ENSG00000165355	356	460	354	551	1646	1441	1345	1716
ENSG00000279972	0	0	0	0	0	0	0	0
ENSG00000165379	14	10	21	17	10	2	2	1
ENSG00000189139	0	0	0	0	0	0	0	0
ENSG00000179476	74	72	63	83	312	300	262	317
ENSG00000179454	344	264	314	458	946	895	825	1008
ENSG00000198718	232	228	84	87	121	126	86	120
ENSG00000185246	124	131	98	170	534	569	415	616
ENSG00000100442	612	739	548	729	814	893	574	920
ENSG00000187790	27	27	49	58	292	296	186	313
ENSG00000129534	147	129	60	85	1139	1359	1109	1302
ENSG00000165496	76	48	73	81	0	0	0	0
ENSG00000139915	15	15	5	2	10	22	11	28
ENSG00000213741	14285	17900	8420	13601	26330	34049	24187	27379
ENSG00000165501	143	122	204	213	240	298	257	295
ENSG00000165502	6049	6733	3473	4584	7507	8345	6744	8309
ENSG00000168282	835	775	1302	1543	2373	2698	2083	2762
ENSG00000165506	201	275	271	343	803	815	678	868
ENSG00000100479	40	34	38	46	45	35	26	49
ENSG00000197776	6	12	7	18	28	57	51	51
ENSG00000165516	661	753	609	712	931	1127	812	1010
ENSG00000165525	291	253	195	338	840	1029	745	1146
ENSG00000165527	4819	4616	4705	5677	10876	12221	10223	12590
ENSG00000100483	63	85	53	78	369	399	350	394
ENSG00000100485	861	730	740	1040	2592	2854	2353	3121
ENSG00000087299	50	48	92	99	244	254	184	288
ENSG00000125375	28	54	58	89	349	290	287	381
ENSG00000100490	14	14	41	37	351	387	358	447
ENSG00000012983	233	216	287	406	1035	988	877	1107
ENSG00000198513	25	14	5	29	159	201	160	208
ENSG00000151748	590	555	583	813	2715	2789	2397	3173
ENSG00000100503	1059	964	657	952	2852	3255	2730	3784
ENSG00000100504	34	44	25	12	10	1	7	8
ENSG00000131969	0	0	0	0	0	0	0	0
ENSG00000100505	4	5	10	16	41	53	40	54
ENSG00000139921	333	318	454	535	2405	2547	2218	2681
ENSG00000139926	6	10	9	3	3	2	0	1
ENSG00000186469	5159	4973	10876	14601	10021	10066	8507	11385
ENSG00000087302	1345	1653	1301	1788	3316	3266	2711	3825
ENSG00000087303	1	3	1	4	5	5	5	3
ENSG00000168229	4	4	0	0	1	1	1	3
ENSG00000125384	89	104	4	7	13	20	20	30
ENSG00000087301	39	42	63	83	229	224	180	232
ENSG00000180998	2	2	6	5	6	10	3	3
ENSG00000197930	1257	1411	549	767	1111	1262	1076	1308
ENSG00000100519	820	999	760	1076	2512	2600	1999	2830
ENSG00000198252	151	147	274	344	1112	1230	1086	1327
ENSG00000100522	106	92	108	154	394	349	286	390
ENSG00000073712	191	224	194	194	10	2	5	8
ENSG00000100523	1010	702	1105	1511	1430	1500	1293	1614
ENSG00000125378	0	0	0	0	0	0	0	0
ENSG00000100526	7	8	3	3	13	9	5	19
ENSG00000100528	300	368	277	403	1534	1650	1376	1707
ENSG00000197045	303	300	454	676	1341	1268	1021	1332
ENSG00000100532	120	117	164	241	519	554	477	573
ENSG00000020577	170	173	164	155	23	8	17	23
ENSG00000131979	158	145	362	374	643	768	592	762
ENSG00000198554	60	34	85	119	290	335	264	379
ENSG00000180008	153	140	277	358	1138	1211	1032	1266
ENSG00000168175	1038	790	1051	1299	2822	2913	2604	3492
ENSG00000131981	723	834	462	641	241	202	138	195
ENSG00000126787	9	6	0	2	1	3	0	5
ENSG00000178974	368	399	329	415	1152	1382	1076	1375
ENSG00000126775	20	38	31	30	200	184	156	219
ENSG00000182521	0	4	0	2	1	5	0	0
ENSG00000126777	1280	1330	807	1404	1900	2002	1694	2490
ENSG00000139946	145	142	82	122	530	614	477	612
ENSG00000070269	145	154	128	189	356	461	366	461
ENSG00000165588	0	0	0	0	0	0	0	0
ENSG00000070367	630	551	1086	1466	2376	2674	2236	2756
ENSG00000053770	299	254	450	640	2410	2773	2237	2653
ENSG00000139977	296	269	396	511	1247	1323	1122	1351
ENSG00000100557	0	0	2	0	0	0	1	1
ENSG00000151812	4	1	5	5	4	5	1	5
ENSG00000139971	35	55	26	70	353	401	327	411
ENSG00000131966	0	0	0	0	0	0	0	0
